timestamp,open,high,low,close,volume,quote_volume
2025-12-02 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 21:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 22:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 22:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 23:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-02 23:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 00:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 00:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 01:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 01:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 02:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 02:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 03:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 03:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 04:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 04:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 05:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 05:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 06:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 06:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 07:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 07:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 08:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 08:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 09:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 09:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 10:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 10:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 11:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 11:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 12:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 12:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 13:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 13:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 21:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 22:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 22:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 23:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-03 23:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 00:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 00:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 01:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 01:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 02:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 02:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 03:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 03:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 04:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 04:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 05:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 05:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 06:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 06:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 07:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 07:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 08:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 08:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 09:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 09:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 10:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 10:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 11:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 11:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 12:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 12:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 13:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 13:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 21:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 22:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 22:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 23:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-04 23:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 00:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 00:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 01:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 01:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 02:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 02:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 03:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 03:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 04:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 04:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 05:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 05:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 06:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 06:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 07:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 07:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 08:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 08:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 09:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 09:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 10:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 10:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 11:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 11:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 12:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 12:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 13:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 13:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 21:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 22:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 22:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 23:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-05 23:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 00:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 00:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 01:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 01:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 02:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 02:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 03:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 03:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 04:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 04:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 05:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 05:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 06:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 06:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 07:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 07:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 08:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 08:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 09:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 09:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 10:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 10:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 11:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 11:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 12:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 12:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 13:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 13:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 21:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 22:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 22:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 23:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-06 23:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 00:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 00:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 01:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 01:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 02:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 02:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 03:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 03:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 04:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 04:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 05:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 05:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 06:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 06:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 07:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 07:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 08:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 08:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 09:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 09:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 10:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 10:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 11:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 11:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 12:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 12:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 13:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 13:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 21:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 22:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 22:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 23:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-07 23:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 00:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 00:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 01:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 01:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 02:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 02:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 03:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 03:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 04:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 04:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 05:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 05:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 06:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 06:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 07:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 07:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 08:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 08:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 09:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 09:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 10:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 10:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 11:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 11:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 12:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 12:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 13:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 13:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 14:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 14:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 15:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 15:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 16:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 16:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 17:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 17:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 18:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 18:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 19:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 19:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 20:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 20:30:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
2025-12-08 21:00:00,2989.17,2999.67,2987.95,2995.96,1530.0278,4582609.154353
